"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/03/2025 06:45:00 - 05/03/2025 07:00:00","BZN|NO1","Without Sequence","25.26","",""
"05/03/2025 07:00:00 - 05/03/2025 07:15:00","BZN|NO1","Without Sequence","36.95","",""
"05/03/2025 07:15:00 - 05/03/2025 07:30:00","BZN|NO1","Without Sequence","36.95","",""
"05/03/2025 07:30:00 - 05/03/2025 07:45:00","BZN|NO1","Without Sequence","36.95","",""
"05/03/2025 07:45:00 - 05/03/2025 08:00:00","BZN|NO1","Without Sequence","36.95","",""
"05/03/2025 08:00:00 - 05/03/2025 08:15:00","BZN|NO1","Without Sequence","36.99","",""
"05/03/2025 08:15:00 - 05/03/2025 08:30:00","BZN|NO1","Without Sequence","36.99","",""
"05/03/2025 08:30:00 - 05/03/2025 08:45:00","BZN|NO1","Without Sequence","36.99","",""
"05/03/2025 08:45:00 - 05/03/2025 09:00:00","BZN|NO1","Without Sequence","36.99","",""
"05/03/2025 09:00:00 - 05/03/2025 09:15:00","BZN|NO1","Without Sequence","26.14","",""
"05/03/2025 09:15:00 - 05/03/2025 09:30:00","BZN|NO1","Without Sequence","26.14","",""
"05/03/2025 09:30:00 - 05/03/2025 09:45:00","BZN|NO1","Without Sequence","26.14","",""
"05/03/2025 09:45:00 - 05/03/2025 10:00:00","BZN|NO1","Without Sequence","26.14","",""
"05/03/2025 10:00:00 - 05/03/2025 10:15:00","BZN|NO1","Without Sequence","10.08","",""
"05/03/2025 10:15:00 - 05/03/2025 10:30:00","BZN|NO1","Without Sequence","10.08","",""
"05/03/2025 10:30:00 - 05/03/2025 10:45:00","BZN|NO1","Without Sequence","10.08","",""
"05/03/2025 10:45:00 - 05/03/2025 11:00:00","BZN|NO1","Without Sequence","10.08","",""
"05/03/2025 11:00:00 - 05/03/2025 11:15:00","BZN|NO1","Without Sequence","5.65","",""
"05/03/2025 11:15:00 - 05/03/2025 11:30:00","BZN|NO1","Without Sequence","5.65","",""
"05/03/2025 11:30:00 - 05/03/2025 11:45:00","BZN|NO1","Without Sequence","5.65","",""
"05/03/2025 11:45:00 - 05/03/2025 12:00:00","BZN|NO1","Without Sequence","5.65","",""
"05/03/2025 12:00:00 - 05/03/2025 12:15:00","BZN|NO1","Without Sequence","3.95","",""
"05/03/2025 12:15:00 - 05/03/2025 12:30:00","BZN|NO1","Without Sequence","3.95","",""
"05/03/2025 12:30:00 - 05/03/2025 12:45:00","BZN|NO1","Without Sequence","3.95","",""
"05/03/2025 12:45:00 - 05/03/2025 13:00:00","BZN|NO1","Without Sequence","3.95","",""
"05/03/2025 13:00:00 - 05/03/2025 13:15:00","BZN|NO1","Without Sequence","6.22","",""
"05/03/2025 13:15:00 - 05/03/2025 13:30:00","BZN|NO1","Without Sequence","6.22","",""
"05/03/2025 13:30:00 - 05/03/2025 13:45:00","BZN|NO1","Without Sequence","6.22","",""
"05/03/2025 13:45:00 - 05/03/2025 14:00:00","BZN|NO1","Without Sequence","6.22","",""
"05/03/2025 14:00:00 - 05/03/2025 14:15:00","BZN|NO1","Without Sequence","14.40","",""
"05/03/2025 14:15:00 - 05/03/2025 14:30:00","BZN|NO1","Without Sequence","14.40","",""
"05/03/2025 14:30:00 - 05/03/2025 14:45:00","BZN|NO1","Without Sequence","14.40","",""
"05/03/2025 14:45:00 - 05/03/2025 15:00:00","BZN|NO1","Without Sequence","14.40","",""
"05/03/2025 15:00:00 - 05/03/2025 15:15:00","BZN|NO1","Without Sequence","24.57","",""
"05/03/2025 15:15:00 - 05/03/2025 15:30:00","BZN|NO1","Without Sequence","24.57","",""
"05/03/2025 15:30:00 - 05/03/2025 15:45:00","BZN|NO1","Without Sequence","24.57","",""
"05/03/2025 15:45:00 - 05/03/2025 16:00:00","BZN|NO1","Without Sequence","24.57","",""
"05/03/2025 16:00:00 - 05/03/2025 16:15:00","BZN|NO1","Without Sequence","30.10","",""
"05/03/2025 16:15:00 - 05/03/2025 16:30:00","BZN|NO1","Without Sequence","30.10","",""
"05/03/2025 16:30:00 - 05/03/2025 16:45:00","BZN|NO1","Without Sequence","30.10","",""
"05/03/2025 16:45:00 - 05/03/2025 17:00:00","BZN|NO1","Without Sequence","30.10","",""
"05/03/2025 17:00:00 - 05/03/2025 17:15:00","BZN|NO1","Without Sequence","34.11","",""
"05/03/2025 17:15:00 - 05/03/2025 17:30:00","BZN|NO1","Without Sequence","34.11","",""
"05/03/2025 17:30:00 - 05/03/2025 17:45:00","BZN|NO1","Without Sequence","34.11","",""
"05/03/2025 17:45:00 - 05/03/2025 18:00:00","BZN|NO1","Without Sequence","34.11","",""
"05/03/2025 18:00:00 - 05/03/2025 18:15:00","BZN|NO1","Without Sequence","34.38","",""
"05/03/2025 18:15:00 - 05/03/2025 18:30:00","BZN|NO1","Without Sequence","34.38","",""
"05/03/2025 18:30:00 - 05/03/2025 18:45:00","BZN|NO1","Without Sequence","34.38","",""
"05/03/2025 18:45:00 - 05/03/2025 19:00:00","BZN|NO1","Without Sequence","34.38","",""
"05/03/2025 19:00:00 - 05/03/2025 19:15:00","BZN|NO1","Without Sequence","33.58","",""
"05/03/2025 19:15:00 - 05/03/2025 19:30:00","BZN|NO1","Without Sequence","33.58","",""
"05/03/2025 19:30:00 - 05/03/2025 19:45:00","BZN|NO1","Without Sequence","33.58","",""
"05/03/2025 19:45:00 - 05/03/2025 20:00:00","BZN|NO1","Without Sequence","33.58","",""
"05/03/2025 20:00:00 - 05/03/2025 20:15:00","BZN|NO1","Without Sequence","33.27","",""
"05/03/2025 20:15:00 - 05/03/2025 20:30:00","BZN|NO1","Without Sequence","33.27","",""
"05/03/2025 20:30:00 - 05/03/2025 20:45:00","BZN|NO1","Without Sequence","33.27","",""
"05/03/2025 20:45:00 - 05/03/2025 21:00:00","BZN|NO1","Without Sequence","33.27","",""
"05/03/2025 21:00:00 - 05/03/2025 21:15:00","BZN|NO1","Without Sequence","31.85","",""
"05/03/2025 21:15:00 - 05/03/2025 21:30:00","BZN|NO1","Without Sequence","31.85","",""
"05/03/2025 21:30:00 - 05/03/2025 21:45:00","BZN|NO1","Without Sequence","31.85","",""
"05/03/2025 21:45:00 - 05/03/2025 22:00:00","BZN|NO1","Without Sequence","31.85","",""
"05/03/2025 22:00:00 - 05/03/2025 22:15:00","BZN|NO1","Without Sequence","29.70","",""
"05/03/2025 22:15:00 - 05/03/2025 22:30:00","BZN|NO1","Without Sequence","29.70","",""
"05/03/2025 22:30:00 - 05/03/2025 22:45:00","BZN|NO1","Without Sequence","29.70","",""
"05/03/2025 22:45:00 - 05/03/2025 23:00:00","BZN|NO1","Without Sequence","29.70","",""
"05/03/2025 23:00:00 - 05/03/2025 23:15:00","BZN|NO1","Without Sequence","29.53","",""
"05/03/2025 23:15:00 - 05/03/2025 23:30:00","BZN|NO1","Without Sequence","29.53","",""
"05/03/2025 23:30:00 - 05/03/2025 23:45:00","BZN|NO1","Without Sequence","29.53","",""
"05/03/2025 23:45:00 - 06/03/2025 00:00:00","BZN|NO1","Without Sequence","29.53","",""
"06/03/2025 00:00:00 - 06/03/2025 00:15:00","BZN|NO1","Without Sequence","28.75","",""
"06/03/2025 00:15:00 - 06/03/2025 00:30:00","BZN|NO1","Without Sequence","28.75","",""
"06/03/2025 00:30:00 - 06/03/2025 00:45:00","BZN|NO1","Without Sequence","28.75","",""
"06/03/2025 00:45:00 - 06/03/2025 01:00:00","BZN|NO1","Without Sequence","28.75","",""
"06/03/2025 01:00:00 - 06/03/2025 01:15:00","BZN|NO1","Without Sequence","28.00","",""
"06/03/2025 01:15:00 - 06/03/2025 01:30:00","BZN|NO1","Without Sequence","28.00","",""
"06/03/2025 01:30:00 - 06/03/2025 01:45:00","BZN|NO1","Without Sequence","28.00","",""
"06/03/2025 01:45:00 - 06/03/2025 02:00:00","BZN|NO1","Without Sequence","28.00","",""
"06/03/2025 02:00:00 - 06/03/2025 02:15:00","BZN|NO1","Without Sequence","23.13","",""
"06/03/2025 02:15:00 - 06/03/2025 02:30:00","BZN|NO1","Without Sequence","23.13","",""
"06/03/2025 02:30:00 - 06/03/2025 02:45:00","BZN|NO1","Without Sequence","23.13","",""
"06/03/2025 02:45:00 - 06/03/2025 03:00:00","BZN|NO1","Without Sequence","23.13","",""
"06/03/2025 03:00:00 - 06/03/2025 03:15:00","BZN|NO1","Without Sequence","21.59","",""
"06/03/2025 03:15:00 - 06/03/2025 03:30:00","BZN|NO1","Without Sequence","21.59","",""
"06/03/2025 03:30:00 - 06/03/2025 03:45:00","BZN|NO1","Without Sequence","21.59","",""
"06/03/2025 03:45:00 - 06/03/2025 04:00:00","BZN|NO1","Without Sequence","21.59","",""
"06/03/2025 04:00:00 - 06/03/2025 04:15:00","BZN|NO1","Without Sequence","17.11","",""
"06/03/2025 04:15:00 - 06/03/2025 04:30:00","BZN|NO1","Without Sequence","17.11","",""
"06/03/2025 04:30:00 - 06/03/2025 04:45:00","BZN|NO1","Without Sequence","17.11","",""
"06/03/2025 04:45:00 - 06/03/2025 05:00:00","BZN|NO1","Without Sequence","17.11","",""
"06/03/2025 05:00:00 - 06/03/2025 05:15:00","BZN|NO1","Without Sequence","15.00","",""
"06/03/2025 05:15:00 - 06/03/2025 05:30:00","BZN|NO1","Without Sequence","15.00","",""
"06/03/2025 05:30:00 - 06/03/2025 05:45:00","BZN|NO1","Without Sequence","15.00","",""
"06/03/2025 05:45:00 - 06/03/2025 06:00:00","BZN|NO1","Without Sequence","15.00","",""
"06/03/2025 06:00:00 - 06/03/2025 06:15:00","BZN|NO1","Without Sequence","34.86","",""
"06/03/2025 06:15:00 - 06/03/2025 06:30:00","BZN|NO1","Without Sequence","34.86","",""
"06/03/2025 06:30:00 - 06/03/2025 06:45:00","BZN|NO1","Without Sequence","34.86","",""
"06/03/2025 06:45:00 - 06/03/2025 07:00:00","BZN|NO1","Without Sequence","34.86","",""
"06/03/2025 07:00:00 - 06/03/2025 07:15:00","BZN|NO1","Without Sequence","39.85","",""
"06/03/2025 07:15:00 - 06/03/2025 07:30:00","BZN|NO1","Without Sequence","39.85","",""
"06/03/2025 07:30:00 - 06/03/2025 07:45:00","BZN|NO1","Without Sequence","39.85","",""
"06/03/2025 07:45:00 - 06/03/2025 08:00:00","BZN|NO1","Without Sequence","39.85","",""
"06/03/2025 08:00:00 - 06/03/2025 08:15:00","BZN|NO1","Without Sequence","39.79","",""
"06/03/2025 08:15:00 - 06/03/2025 08:30:00","BZN|NO1","Without Sequence","39.79","",""
"06/03/2025 08:30:00 - 06/03/2025 08:45:00","BZN|NO1","Without Sequence","39.79","",""
"06/03/2025 08:45:00 - 06/03/2025 09:00:00","BZN|NO1","Without Sequence","39.79","",""
"06/03/2025 09:00:00 - 06/03/2025 09:15:00","BZN|NO1","Without Sequence","37.38","",""
"06/03/2025 09:15:00 - 06/03/2025 09:30:00","BZN|NO1","Without Sequence","37.38","",""
"06/03/2025 09:30:00 - 06/03/2025 09:45:00","BZN|NO1","Without Sequence","37.38","",""
"06/03/2025 09:45:00 - 06/03/2025 10:00:00","BZN|NO1","Without Sequence","37.38","",""
"06/03/2025 10:00:00 - 06/03/2025 10:15:00","BZN|NO1","Without Sequence","35.99","",""
"06/03/2025 10:15:00 - 06/03/2025 10:30:00","BZN|NO1","Without Sequence","35.99","",""
"06/03/2025 10:30:00 - 06/03/2025 10:45:00","BZN|NO1","Without Sequence","35.99","",""
"06/03/2025 10:45:00 - 06/03/2025 11:00:00","BZN|NO1","Without Sequence","35.99","",""
"06/03/2025 11:00:00 - 06/03/2025 11:15:00","BZN|NO1","Without Sequence","31.44","",""
"06/03/2025 11:15:00 - 06/03/2025 11:30:00","BZN|NO1","Without Sequence","31.44","",""
"06/03/2025 11:30:00 - 06/03/2025 11:45:00","BZN|NO1","Without Sequence","31.44","",""
"06/03/2025 11:45:00 - 06/03/2025 12:00:00","BZN|NO1","Without Sequence","31.44","",""
"06/03/2025 12:00:00 - 06/03/2025 12:15:00","BZN|NO1","Without Sequence","24.19","",""
"06/03/2025 12:15:00 - 06/03/2025 12:30:00","BZN|NO1","Without Sequence","24.19","",""
"06/03/2025 12:30:00 - 06/03/2025 12:45:00","BZN|NO1","Without Sequence","24.19","",""
"06/03/2025 12:45:00 - 06/03/2025 13:00:00","BZN|NO1","Without Sequence","24.19","",""
"06/03/2025 13:00:00 - 06/03/2025 13:15:00","BZN|NO1","Without Sequence","27.39","",""
"06/03/2025 13:15:00 - 06/03/2025 13:30:00","BZN|NO1","Without Sequence","27.39","",""
"06/03/2025 13:30:00 - 06/03/2025 13:45:00","BZN|NO1","Without Sequence","27.39","",""
"06/03/2025 13:45:00 - 06/03/2025 14:00:00","BZN|NO1","Without Sequence","27.39","",""
"06/03/2025 14:00:00 - 06/03/2025 14:15:00","BZN|NO1","Without Sequence","32.74","",""
"06/03/2025 14:15:00 - 06/03/2025 14:30:00","BZN|NO1","Without Sequence","32.74","",""
"06/03/2025 14:30:00 - 06/03/2025 14:45:00","BZN|NO1","Without Sequence","32.74","",""
"06/03/2025 14:45:00 - 06/03/2025 15:00:00","BZN|NO1","Without Sequence","32.74","",""
"06/03/2025 15:00:00 - 06/03/2025 15:15:00","BZN|NO1","Without Sequence","36.91","",""
"06/03/2025 15:15:00 - 06/03/2025 15:30:00","BZN|NO1","Without Sequence","36.91","",""
"06/03/2025 15:30:00 - 06/03/2025 15:45:00","BZN|NO1","Without Sequence","36.91","",""
"06/03/2025 15:45:00 - 06/03/2025 16:00:00","BZN|NO1","Without Sequence","36.91","",""
"06/03/2025 16:00:00 - 06/03/2025 16:15:00","BZN|NO1","Without Sequence","37.28","",""
"06/03/2025 16:15:00 - 06/03/2025 16:30:00","BZN|NO1","Without Sequence","37.28","",""
"06/03/2025 16:30:00 - 06/03/2025 16:45:00","BZN|NO1","Without Sequence","37.28","",""
"06/03/2025 16:45:00 - 06/03/2025 17:00:00","BZN|NO1","Without Sequence","37.28","",""
"06/03/2025 17:00:00 - 06/03/2025 17:15:00","BZN|NO1","Without Sequence","39.67","",""
"06/03/2025 17:15:00 - 06/03/2025 17:30:00","BZN|NO1","Without Sequence","39.67","",""
"06/03/2025 17:30:00 - 06/03/2025 17:45:00","BZN|NO1","Without Sequence","39.67","",""
"06/03/2025 17:45:00 - 06/03/2025 18:00:00","BZN|NO1","Without Sequence","39.67","",""
"06/03/2025 18:00:00 - 06/03/2025 18:15:00","BZN|NO1","Without Sequence","39.72","",""
"06/03/2025 18:15:00 - 06/03/2025 18:30:00","BZN|NO1","Without Sequence","39.72","",""
"06/03/2025 18:30:00 - 06/03/2025 18:45:00","BZN|NO1","Without Sequence","39.72","",""
"06/03/2025 18:45:00 - 06/03/2025 19:00:00","BZN|NO1","Without Sequence","39.72","",""
"06/03/2025 19:00:00 - 06/03/2025 19:15:00","BZN|NO1","Without Sequence","39.55","",""
"06/03/2025 19:15:00 - 06/03/2025 19:30:00","BZN|NO1","Without Sequence","39.55","",""
"06/03/2025 19:30:00 - 06/03/2025 19:45:00","BZN|NO1","Without Sequence","39.55","",""
"06/03/2025 19:45:00 - 06/03/2025 20:00:00","BZN|NO1","Without Sequence","39.55","",""
"06/03/2025 20:00:00 - 06/03/2025 20:15:00","BZN|NO1","Without Sequence","39.76","",""
"06/03/2025 20:15:00 - 06/03/2025 20:30:00","BZN|NO1","Without Sequence","39.76","",""
"06/03/2025 20:30:00 - 06/03/2025 20:45:00","BZN|NO1","Without Sequence","39.76","",""
"06/03/2025 20:45:00 - 06/03/2025 21:00:00","BZN|NO1","Without Sequence","39.76","",""
"06/03/2025 21:00:00 - 06/03/2025 21:15:00","BZN|NO1","Without Sequence","39.65","",""
"06/03/2025 21:15:00 - 06/03/2025 21:30:00","BZN|NO1","Without Sequence","39.65","",""
"06/03/2025 21:30:00 - 06/03/2025 21:45:00","BZN|NO1","Without Sequence","39.65","",""
"06/03/2025 21:45:00 - 06/03/2025 22:00:00","BZN|NO1","Without Sequence","39.65","",""
"06/03/2025 22:00:00 - 06/03/2025 22:15:00","BZN|NO1","Without Sequence","33.88","",""
"06/03/2025 22:15:00 - 06/03/2025 22:30:00","BZN|NO1","Without Sequence","33.88","",""
"06/03/2025 22:30:00 - 06/03/2025 22:45:00","BZN|NO1","Without Sequence","33.88","",""
"06/03/2025 22:45:00 - 06/03/2025 23:00:00","BZN|NO1","Without Sequence","33.88","",""
"06/03/2025 23:00:00 - 06/03/2025 23:15:00","BZN|NO1","Without Sequence","29.51","",""
"06/03/2025 23:15:00 - 06/03/2025 23:30:00","BZN|NO1","Without Sequence","29.51","",""
"06/03/2025 23:30:00 - 06/03/2025 23:45:00","BZN|NO1","Without Sequence","29.51","",""
"06/03/2025 23:45:00 - 07/03/2025 00:00:00","BZN|NO1","Without Sequence","29.51","",""
"07/03/2025 00:00:00 - 07/03/2025 00:15:00","BZN|NO1","Without Sequence","21.96","",""
"07/03/2025 00:15:00 - 07/03/2025 00:30:00","BZN|NO1","Without Sequence","21.96","",""
"07/03/2025 00:30:00 - 07/03/2025 00:45:00","BZN|NO1","Without Sequence","21.96","",""
"07/03/2025 00:45:00 - 07/03/2025 01:00:00","BZN|NO1","Without Sequence","21.96","",""
"07/03/2025 01:00:00 - 07/03/2025 01:15:00","BZN|NO1","Without Sequence","26.45","",""
"07/03/2025 01:15:00 - 07/03/2025 01:30:00","BZN|NO1","Without Sequence","26.45","",""
"07/03/2025 01:30:00 - 07/03/2025 01:45:00","BZN|NO1","Without Sequence","26.45","",""
"07/03/2025 01:45:00 - 07/03/2025 02:00:00","BZN|NO1","Without Sequence","26.45","",""
"07/03/2025 02:00:00 - 07/03/2025 02:15:00","BZN|NO1","Without Sequence","29.99","",""
"07/03/2025 02:15:00 - 07/03/2025 02:30:00","BZN|NO1","Without Sequence","29.99","",""
"07/03/2025 02:30:00 - 07/03/2025 02:45:00","BZN|NO1","Without Sequence","29.99","",""
"07/03/2025 02:45:00 - 07/03/2025 03:00:00","BZN|NO1","Without Sequence","29.99","",""
"07/03/2025 03:00:00 - 07/03/2025 03:15:00","BZN|NO1","Without Sequence","31.04","",""
"07/03/2025 03:15:00 - 07/03/2025 03:30:00","BZN|NO1","Without Sequence","31.04","",""
"07/03/2025 03:30:00 - 07/03/2025 03:45:00","BZN|NO1","Without Sequence","31.04","",""
"07/03/2025 03:45:00 - 07/03/2025 04:00:00","BZN|NO1","Without Sequence","31.04","",""
"07/03/2025 04:00:00 - 07/03/2025 04:15:00","BZN|NO1","Without Sequence","35.78","",""
"07/03/2025 04:15:00 - 07/03/2025 04:30:00","BZN|NO1","Without Sequence","35.78","",""
"07/03/2025 04:30:00 - 07/03/2025 04:45:00","BZN|NO1","Without Sequence","35.78","",""
"07/03/2025 04:45:00 - 07/03/2025 05:00:00","BZN|NO1","Without Sequence","35.78","",""
"07/03/2025 05:00:00 - 07/03/2025 05:15:00","BZN|NO1","Without Sequence","38.05","",""
"07/03/2025 05:15:00 - 07/03/2025 05:30:00","BZN|NO1","Without Sequence","38.05","",""
"07/03/2025 05:30:00 - 07/03/2025 05:45:00","BZN|NO1","Without Sequence","38.05","",""
"07/03/2025 05:45:00 - 07/03/2025 06:00:00","BZN|NO1","Without Sequence","38.05","",""
"07/03/2025 06:00:00 - 07/03/2025 06:15:00","BZN|NO1","Without Sequence","39.02","",""
"07/03/2025 06:15:00 - 07/03/2025 06:30:00","BZN|NO1","Without Sequence","39.02","",""
"07/03/2025 06:30:00 - 07/03/2025 06:45:00","BZN|NO1","Without Sequence","39.02","",""
"07/03/2025 06:45:00 - 07/03/2025 07:00:00","BZN|NO1","Without Sequence","39.02","",""
"07/03/2025 07:00:00 - 07/03/2025 07:15:00","BZN|NO1","Without Sequence","40.05","",""
"07/03/2025 07:15:00 - 07/03/2025 07:30:00","BZN|NO1","Without Sequence","40.05","",""
"07/03/2025 07:30:00 - 07/03/2025 07:45:00","BZN|NO1","Without Sequence","40.05","",""
"07/03/2025 07:45:00 - 07/03/2025 08:00:00","BZN|NO1","Without Sequence","40.05","",""
"07/03/2025 08:00:00 - 07/03/2025 08:15:00","BZN|NO1","Without Sequence","41.62","",""
"07/03/2025 08:15:00 - 07/03/2025 08:30:00","BZN|NO1","Without Sequence","41.62","",""
"07/03/2025 08:30:00 - 07/03/2025 08:45:00","BZN|NO1","Without Sequence","41.62","",""
"07/03/2025 08:45:00 - 07/03/2025 09:00:00","BZN|NO1","Without Sequence","41.62","",""
"07/03/2025 09:00:00 - 07/03/2025 09:15:00","BZN|NO1","Without Sequence","42.72","",""
"07/03/2025 09:15:00 - 07/03/2025 09:30:00","BZN|NO1","Without Sequence","42.72","",""
"07/03/2025 09:30:00 - 07/03/2025 09:45:00","BZN|NO1","Without Sequence","42.72","",""
"07/03/2025 09:45:00 - 07/03/2025 10:00:00","BZN|NO1","Without Sequence","42.72","",""
"07/03/2025 10:00:00 - 07/03/2025 10:15:00","BZN|NO1","Without Sequence","39.92","",""
"07/03/2025 10:15:00 - 07/03/2025 10:30:00","BZN|NO1","Without Sequence","39.92","",""
"07/03/2025 10:30:00 - 07/03/2025 10:45:00","BZN|NO1","Without Sequence","39.92","",""
"07/03/2025 10:45:00 - 07/03/2025 11:00:00","BZN|NO1","Without Sequence","39.92","",""
"07/03/2025 11:00:00 - 07/03/2025 11:15:00","BZN|NO1","Without Sequence","39.45","",""
"07/03/2025 11:15:00 - 07/03/2025 11:30:00","BZN|NO1","Without Sequence","39.45","",""
"07/03/2025 11:30:00 - 07/03/2025 11:45:00","BZN|NO1","Without Sequence","39.45","",""
"07/03/2025 11:45:00 - 07/03/2025 12:00:00","BZN|NO1","Without Sequence","39.45","",""
"07/03/2025 12:00:00 - 07/03/2025 12:15:00","BZN|NO1","Without Sequence","31.74","",""
"07/03/2025 12:15:00 - 07/03/2025 12:30:00","BZN|NO1","Without Sequence","31.74","",""
"07/03/2025 12:30:00 - 07/03/2025 12:45:00","BZN|NO1","Without Sequence","31.74","",""
"07/03/2025 12:45:00 - 07/03/2025 13:00:00","BZN|NO1","Without Sequence","31.74","",""
"07/03/2025 13:00:00 - 07/03/2025 13:15:00","BZN|NO1","Without Sequence","32.23","",""
"07/03/2025 13:15:00 - 07/03/2025 13:30:00","BZN|NO1","Without Sequence","32.23","",""
"07/03/2025 13:30:00 - 07/03/2025 13:45:00","BZN|NO1","Without Sequence","32.23","",""
"07/03/2025 13:45:00 - 07/03/2025 14:00:00","BZN|NO1","Without Sequence","32.23","",""
"07/03/2025 14:00:00 - 07/03/2025 14:15:00","BZN|NO1","Without Sequence","38.87","",""
"07/03/2025 14:15:00 - 07/03/2025 14:30:00","BZN|NO1","Without Sequence","38.87","",""
"07/03/2025 14:30:00 - 07/03/2025 14:45:00","BZN|NO1","Without Sequence","38.87","",""
"07/03/2025 14:45:00 - 07/03/2025 15:00:00","BZN|NO1","Without Sequence","38.87","",""
"07/03/2025 15:00:00 - 07/03/2025 15:15:00","BZN|NO1","Without Sequence","38.85","",""
"07/03/2025 15:15:00 - 07/03/2025 15:30:00","BZN|NO1","Without Sequence","38.85","",""
"07/03/2025 15:30:00 - 07/03/2025 15:45:00","BZN|NO1","Without Sequence","38.85","",""
"07/03/2025 15:45:00 - 07/03/2025 16:00:00","BZN|NO1","Without Sequence","38.85","",""
"07/03/2025 16:00:00 - 07/03/2025 16:15:00","BZN|NO1","Without Sequence","39.63","",""
"07/03/2025 16:15:00 - 07/03/2025 16:30:00","BZN|NO1","Without Sequence","39.63","",""
"07/03/2025 16:30:00 - 07/03/2025 16:45:00","BZN|NO1","Without Sequence","39.63","",""
"07/03/2025 16:45:00 - 07/03/2025 17:00:00","BZN|NO1","Without Sequence","39.63","",""
"07/03/2025 17:00:00 - 07/03/2025 17:15:00","BZN|NO1","Without Sequence","39.67","",""
"07/03/2025 17:15:00 - 07/03/2025 17:30:00","BZN|NO1","Without Sequence","39.67","",""
"07/03/2025 17:30:00 - 07/03/2025 17:45:00","BZN|NO1","Without Sequence","39.67","",""
"07/03/2025 17:45:00 - 07/03/2025 18:00:00","BZN|NO1","Without Sequence","39.67","",""
"07/03/2025 18:00:00 - 07/03/2025 18:15:00","BZN|NO1","Without Sequence","40.00","",""
"07/03/2025 18:15:00 - 07/03/2025 18:30:00","BZN|NO1","Without Sequence","40.00","",""
"07/03/2025 18:30:00 - 07/03/2025 18:45:00","BZN|NO1","Without Sequence","40.00","",""
"07/03/2025 18:45:00 - 07/03/2025 19:00:00","BZN|NO1","Without Sequence","40.00","",""
"07/03/2025 19:00:00 - 07/03/2025 19:15:00","BZN|NO1","Without Sequence","39.33","",""
"07/03/2025 19:15:00 - 07/03/2025 19:30:00","BZN|NO1","Without Sequence","39.33","",""
"07/03/2025 19:30:00 - 07/03/2025 19:45:00","BZN|NO1","Without Sequence","39.33","",""
"07/03/2025 19:45:00 - 07/03/2025 20:00:00","BZN|NO1","Without Sequence","39.33","",""
"07/03/2025 20:00:00 - 07/03/2025 20:15:00","BZN|NO1","Without Sequence","38.80","",""
"07/03/2025 20:15:00 - 07/03/2025 20:30:00","BZN|NO1","Without Sequence","38.80","",""
"07/03/2025 20:30:00 - 07/03/2025 20:45:00","BZN|NO1","Without Sequence","38.80","",""
"07/03/2025 20:45:00 - 07/03/2025 21:00:00","BZN|NO1","Without Sequence","38.80","",""
"07/03/2025 21:00:00 - 07/03/2025 21:15:00","BZN|NO1","Without Sequence","39.11","",""
"07/03/2025 21:15:00 - 07/03/2025 21:30:00","BZN|NO1","Without Sequence","39.11","",""
"07/03/2025 21:30:00 - 07/03/2025 21:45:00","BZN|NO1","Without Sequence","39.11","",""
"07/03/2025 21:45:00 - 07/03/2025 22:00:00","BZN|NO1","Without Sequence","39.11","",""
"07/03/2025 22:00:00 - 07/03/2025 22:15:00","BZN|NO1","Without Sequence","38.48","",""
"07/03/2025 22:15:00 - 07/03/2025 22:30:00","BZN|NO1","Without Sequence","38.48","",""
"07/03/2025 22:30:00 - 07/03/2025 22:45:00","BZN|NO1","Without Sequence","38.48","",""
"07/03/2025 22:45:00 - 07/03/2025 23:00:00","BZN|NO1","Without Sequence","38.48","",""
"07/03/2025 23:00:00 - 07/03/2025 23:15:00","BZN|NO1","Without Sequence","35.69","",""
"07/03/2025 23:15:00 - 07/03/2025 23:30:00","BZN|NO1","Without Sequence","35.69","",""
"07/03/2025 23:30:00 - 07/03/2025 23:45:00","BZN|NO1","Without Sequence","35.69","",""
"07/03/2025 23:45:00 - 08/03/2025 00:00:00","BZN|NO1","Without Sequence","35.69","",""
"08/03/2025 00:00:00 - 08/03/2025 00:15:00","BZN|NO1","Without Sequence","3.15","",""
"08/03/2025 00:15:00 - 08/03/2025 00:30:00","BZN|NO1","Without Sequence","3.15","",""
"08/03/2025 00:30:00 - 08/03/2025 00:45:00","BZN|NO1","Without Sequence","3.15","",""
"08/03/2025 00:45:00 - 08/03/2025 01:00:00","BZN|NO1","Without Sequence","3.15","",""
"08/03/2025 01:00:00 - 08/03/2025 01:15:00","BZN|NO1","Without Sequence","2.96","",""
"08/03/2025 01:15:00 - 08/03/2025 01:30:00","BZN|NO1","Without Sequence","2.96","",""
"08/03/2025 01:30:00 - 08/03/2025 01:45:00","BZN|NO1","Without Sequence","2.96","",""
"08/03/2025 01:45:00 - 08/03/2025 02:00:00","BZN|NO1","Without Sequence","2.96","",""
"08/03/2025 02:00:00 - 08/03/2025 02:15:00","BZN|NO1","Without Sequence","2.94","",""
"08/03/2025 02:15:00 - 08/03/2025 02:30:00","BZN|NO1","Without Sequence","2.94","",""
"08/03/2025 02:30:00 - 08/03/2025 02:45:00","BZN|NO1","Without Sequence","2.94","",""
"08/03/2025 02:45:00 - 08/03/2025 03:00:00","BZN|NO1","Without Sequence","2.94","",""
